Date,CategoricalFeature1,CategoricalFeature2,Activity1,Activity2,Target,Activity3,Activity4,Activity5,Activity6,Activity7,Activity8,Activity9,Activity10,Activity11,Activity12,Activity13,Activity14,Activity15,Activity16
1/5/2015,Cat_1,Cat_9,NA,5748,68,6336,4655,NA,NA,74,NA,1442,4610,9224,12162,5533,NA,5073,NA
1/5/2015,Cat_3,Cat_9,NA,3004,92,1162,4042,NA,NA,73,NA,1668,3243,3798,6538,3219,NA,2810,NA
1/6/2015,Cat_1,Cat_1,NA,7412,68,9047,5712,NA,NA,2104,NA,1837,3381,9478,11789,5446,NA,3188,NA
1/6/2015,Cat_3,Cat_1,NA,865,40,1388,914,NA,NA,379,NA,337,463,1238,1468,951,NA,411,NA
1/6/2015,Cat_1,Cat_10,NA,425,33,573,290,NA,NA,997,NA,107,141,657,721,392,NA,308,NA
1/6/2015,Cat_3,Cat_10,NA,42,28,56,70,NA,NA,220,NA,47,62,71,78,29,NA,31,NA
1/6/2015,Cat_1,Cat_11,NA,43,NA,28,29,NA,NA,27,NA,NA,29,27,28,29,NA,40,NA
1/6/2015,Cat_1,Cat_2,NA,58833,563,35352,40765,NA,NA,9035,NA,18354,42393,125152,148953,80650,NA,37063,NA
1/6/2015,Cat_3,Cat_2,NA,9656,74,5184,6653,NA,NA,1102,NA,2070,7124,20129,24047,12355,NA,6878,NA
1/6/2015,Cat_1,Cat_3,NA,2562,81,3437,2298,NA,NA,512,NA,1022,1097,3589,4327,2451,NA,1335,NA
1/6/2015,Cat_3,Cat_3,NA,397,29,587,474,NA,NA,58,NA,161,384,530,652,433,NA,323,NA
1/6/2015,Cat_1,Cat_4,NA,11429,196,15919,9800,NA,NA,3500,NA,3682,6063,12785,15910,8314,NA,7902,NA
1/6/2015,Cat_3,Cat_4,NA,1022,58,1967,930,NA,NA,442,NA,226,502,1107,1729,786,NA,584,NA
1/6/2015,Cat_1,Cat_5,NA,68439,752,38530,41134,NA,NA,6800,NA,15640,40214,121311,144517,73537,NA,53239,NA
1/6/2015,Cat_3,Cat_5,NA,12172,110,6457,9258,NA,NA,1499,NA,2807,8608,21582,28022,12963,NA,8180,NA
1/6/2015,Cat_1,Cat_6,NA,32,NA,42,NA,NA,NA,32,NA,NA,NA,31,30,NA,NA,32,NA
1/6/2015,Cat_4,Cat_6,NA,13008,1047,86436,73879,NA,NA,10932,NA,48795,47352,143261,212571,69460,NA,65261,NA
1/6/2015,Cat_1,Cat_7,NA,11039,205,15387,8579,NA,NA,4042,NA,2307,3833,10797,15822,8420,NA,5336,NA
1/6/2015,Cat_3,Cat_7,NA,1242,44,1418,1057,NA,NA,469,NA,228,617,1370,1787,975,NA,853,NA
1/6/2015,Cat_1,Cat_8,NA,136914,1325,58313,69850,NA,NA,9284,NA,29479,91325,238388,301335,149242,NA,157701,NA
1/6/2015,Cat_3,Cat_8,NA,21571,237,10779,16209,NA,NA,1740,NA,3757,17189,38916,53679,24789,NA,23718,NA
1/6/2015,Cat_1,Cat_9,NA,5370,114,6888,5233,NA,NA,1027,NA,1436,4189,9884,12041,6168,NA,6010,NA
1/6/2015,Cat_3,Cat_9,NA,2523,63,1069,3965,NA,NA,210,NA,1601,2165,3825,5599,3060,NA,1901,NA
1/7/2015,Cat_1,Cat_1,NA,6590,159,9485,5785,NA,NA,2777,NA,1771,3724,8352,9611,6629,NA,3376,NA
1/7/2015,Cat_3,Cat_1,NA,834,33,1198,860,NA,NA,449,NA,251,607,1134,1398,889,NA,392,NA
1/7/2015,Cat_1,Cat_10,NA,566,29,425,626,NA,NA,2062,NA,178,361,696,999,469,NA,219,NA
1/7/2015,Cat_3,Cat_10,NA,57,33,86,65,NA,NA,514,NA,32,81,65,86,59,NA,44,NA
1/7/2015,Cat_1,Cat_11,NA,28,NA,33,29,NA,NA,32,NA,NA,27,30,28,32,NA,30,NA
1/7/2015,Cat_1,Cat_2,NA,54000,636,29574,35942,NA,NA,8768,NA,15589,40517,128163,144672,80042,NA,39176,NA
1/7/2015,Cat_3,Cat_2,NA,7338,122,4289,6507,NA,NA,1983,NA,1894,6415,20167,21375,12848,NA,6033,NA
1/7/2015,Cat_1,Cat_3,NA,3464,66,5011,2694,NA,NA,608,NA,3193,801,2620,3623,1831,NA,1114,NA
1/7/2015,Cat_3,Cat_3,NA,740,46,997,686,NA,NA,104,NA,414,165,595,615,493,NA,238,NA
1/7/2015,Cat_1,Cat_4,NA,12158,208,15302,8304,NA,NA,2218,NA,7176,6095,13959,16716,8902,NA,8207,NA
1/7/2015,Cat_3,Cat_4,NA,700,32,1739,763,NA,NA,238,NA,777,573,1178,1410,691,NA,427,NA
1/7/2015,Cat_1,Cat_5,NA,69727,695,28486,41214,NA,NA,9028,NA,16389,43330,118860,119374,72736,NA,51888,NA
1/7/2015,Cat_3,Cat_5,NA,11890,118,4919,9332,NA,NA,1559,NA,2893,8085,19090,22884,13882,NA,8579,NA
1/7/2015,Cat_1,Cat_6,NA,29,NA,30,NA,NA,NA,30,NA,NA,NA,31,27,NA,NA,30,NA
1/7/2015,Cat_4,Cat_6,NA,12437,797,80147,64339,NA,NA,20270,NA,46464,42320,138091,181757,75009,NA,64851,NA
1/7/2015,Cat_1,Cat_7,NA,12163,121,16033,12011,NA,NA,4289,NA,3299,5307,12428,15322,7639,NA,5396,NA
1/7/2015,Cat_3,Cat_7,NA,1078,28,1338,1159,NA,NA,578,NA,160,413,1265,1485,855,NA,640,NA
1/7/2015,Cat_1,Cat_8,NA,118855,1003,45306,78292,NA,NA,11134,NA,30931,83162,226749,252437,123391,NA,144845,NA
1/7/2015,Cat_3,Cat_8,NA,20351,226,8736,12413,NA,NA,1855,NA,3725,14347,34978,51764,22707,NA,24771,NA
1/7/2015,Cat_1,Cat_9,NA,4697,59,5680,4082,NA,NA,911,NA,1513,3794,8831,11847,5673,NA,5885,NA
1/7/2015,Cat_3,Cat_9,NA,2587,59,980,4644,NA,NA,308,NA,1685,2119,3612,6495,2917,NA,2114,NA
1/8/2015,Cat_1,Cat_1,NA,6080,151,6601,4598,NA,NA,3121,NA,2354,3548,7806,10992,5962,NA,2908,NA
1/8/2015,Cat_3,Cat_1,NA,770,88,1225,849,NA,NA,196,NA,264,580,952,1167,665,NA,344,NA
1/8/2015,Cat_1,Cat_10,NA,372,28,302,345,NA,NA,735,NA,156,472,650,808,412,NA,222,NA
1/8/2015,Cat_3,Cat_10,NA,56,32,57,67,NA,NA,201,NA,44,80,44,63,42,NA,62,NA
1/8/2015,Cat_1,Cat_11,NA,30,NA,41,30,NA,NA,33,NA,NA,29,42,48,32,NA,33,NA
1/8/2015,Cat_1,Cat_2,NA,47618,1909,23300,32075,NA,NA,13509,NA,21037,34660,123685,169867,70916,NA,30359,NA
1/8/2015,Cat_3,Cat_2,NA,7930,238,2752,5751,NA,NA,1412,NA,1931,7017,18457,25183,11508,NA,5495,NA
1/8/2015,Cat_1,Cat_3,NA,3341,155,3785,1731,NA,NA,550,NA,2071,793,2020,2636,1501,NA,899,NA
1/8/2015,Cat_3,Cat_3,NA,362,28,660,287,NA,NA,104,NA,279,102,416,537,289,NA,201,NA
1/8/2015,Cat_1,Cat_4,NA,10510,387,9960,5925,NA,NA,2664,NA,5686,7605,12955,15467,7773,NA,7900,NA
1/8/2015,Cat_3,Cat_4,NA,1098,44,1051,782,NA,NA,304,NA,566,812,1285,1733,860,NA,659,NA
1/8/2015,Cat_1,Cat_5,NA,60943,1586,23872,40665,NA,NA,10413,NA,22665,42970,112076,123252,72507,NA,41893,NA
1/8/2015,Cat_3,Cat_5,NA,11117,332,4369,9492,NA,NA,1722,NA,3056,8148,21249,24524,15547,NA,7120,NA
1/8/2015,Cat_1,Cat_6,NA,43,NA,29,NA,NA,NA,41,NA,NA,NA,29,33,NA,NA,32,NA
1/8/2015,Cat_4,Cat_6,NA,11508,698,69293,59353,NA,NA,17625,NA,45178,47463,139914,186108,79342,NA,63169,NA
1/8/2015,Cat_1,Cat_7,NA,13524,323,17773,14116,NA,NA,3802,NA,4641,6670,17029,21201,10418,NA,6801,NA
1/8/2015,Cat_3,Cat_7,NA,996,57,1215,841,NA,NA,417,NA,229,627,1423,2121,971,NA,806,NA
1/8/2015,Cat_1,Cat_8,NA,109946,1964,47368,59350,NA,NA,14543,NA,38074,85286,214157,260788,144105,NA,129740,NA
1/8/2015,Cat_3,Cat_8,NA,21664,360,7227,12918,NA,NA,2275,NA,4193,16640,38654,47284,25585,NA,20360,NA
1/8/2015,Cat_1,Cat_9,NA,5429,102,5113,5462,NA,NA,990,NA,1679,5427,8493,11029,4685,NA,5644,NA
1/8/2015,Cat_3,Cat_9,NA,2072,43,1139,4410,NA,NA,273,NA,1675,2314,3801,5958,2963,NA,2510,NA
1/9/2015,Cat_1,Cat_1,NA,7090,100,4866,4398,NA,NA,1992,NA,2146,4974,11772,13599,7693,NA,3155,NA
1/9/2015,Cat_3,Cat_1,NA,1600,47,678,1120,NA,NA,415,NA,306,1264,2354,2600,1649,NA,945,NA
1/9/2015,Cat_1,Cat_10,NA,412,28,279,155,NA,NA,320,NA,171,203,575,694,274,NA,203,NA
